"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Pool Swim: Aerobic Endurance","Swim","These sessions will be done at lower intensities, and will progress in duration. The goal is to build your endurance ensuring you can easily swim the distance on race day and still have lots of energy left for the ride and run. Warm Up: 1 x (100 FS in Z2 + 100 Pull in Z2 + 10 secs rest), 1 x (100 FS in Z2 + 100 Drill in Z2 + 10 secs rest). Main Set: 1 x (400 Pull in Z2 + 15 sec rests), 4 x (100 FS in Z3 + 10 sec rests), 2 x (200 Pull in Z2 + 10 sec rests), 2 x (100 FS in Z3 + 10 sec rests). Warm Down: 1 x (100 Pull in Z2 + 100 Choice in Z2).","0.843333333333333","2000","2022-01-10","*Swim Drills: For swim sets that include 'Drills' please refer to the article below. It will help you select the swim Drills that are most relevant to you and will improve your technique. https://myprocoach-help.zendesk.com/hc/en-us/articles/360023124211 For How to Follow Your Swim Workouts: https://myprocoach-help.zendesk.com/hc/en-us/articles/360022874592 You will need to have entered your CSS into your TrainingPeaks settings (see below) to see the planned distance and duration for all swim workouts. https://myprocoach-help.zendesk.com/hc/en-us/articles/360003873972-Determine-Your-Training-Zones-Swim For all swims (whether in a Yard or Meter Pool) follow the distances in the Workout Description section. There is also yard/meter button you can toggle in the Workout Details section below.","1200","","","","","0.472272222969267","0.700525394045534","","21","","116","145","","","0.952840285991758","40.86","20","0","0","0","0","","","","","","","","","","","","","","","","",""
"Speed Workout Bike","Bike","Warm Up: 10 mins easy Z2, 5 x (10 secs in Z4 + 50 secs in Z2). Main Set: 12 x (1 min in Z4 + 90 sec recoveries in Z2). Warm Down: 5 mins in Z1-2.","0.833333333333333","","2022-01-11","Speed workouts will develop your power, economy and skill. Over time, they will prepare your body for the demands of pedalling harder and faster.","25191.259765625","203","344","613.947","","0.836111128330231","8.36900043487549","","86","","149","164","","","0.721214349716702","43.08","0","9","41","0","0","","","","","","5","32","9","5","0","","","","","","",""
"Prep Phase 1: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 2 x 12 (Exercise 1) 2. Alternate Lunge: 2 x 8 (Exercise 5) 3. Single Leg Squat: 2 x 6 (Exercise 3) 4. Reverse Lunge: 2 x 6 (Exercise 6) 5. Bent Over Row: 2 x 12 (Exercise 12) 6. Push Up: 2 x 12 (Exercise 13) 7. Glute Bridge: 2 x 12 (Exercise 18) 8. Bird Dog: 2 x 7 (Exercise 19) 9. Plank: 2 reps (Exercise 21) 10. Reverse Crunch: 2 x 12 (Exercise 28) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2022-01-11","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.43019500374794","0","","","","115","139","","","0.607274086449988","17.2","14","0","0","0","0","","","","","","","","","","","","","","","","",""
"VIDEO: About Cycling Intensity Zones","Custom","About Cycling Intensity Zones: https://bit.ly/BikeIntensity","","","2022-01-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pool Swim: Speed Endurance","Swim","Warm Up: 1 x (100 FS in Z2 + 100 Drill* in Z2 + 5 secs rest), 2 x (50 Pull in Z2 + 50 Pull in Z4 + 10 sec rests). Main Set: 3 x (200 FS in Z3 + 10 sec rests), 5 x (100 FS in Z4 + 10 sec rests), 8 x (50 FS in Z5 + 15 sec rests). Warm Down: 2 x (50 FS in Z2 + 50 Back in Z2 + 5 sec rests), 1 x (100 Choice in Z2).","0.907222222222222","2200","2022-01-12","*Swim Drills: For swim sets that include 'Drills' please refer to the article below. It will help you select the swim Drills that are most relevant to you and will improve your technique. https://myprocoach-help.zendesk.com/hc/en-us/articles/360023124211 For How to Follow Your Swim Workouts: https://myprocoach-help.zendesk.com/hc/en-us/articles/360022874592 You will need to have entered your CSS into your TrainingPeaks settings (see below) to see the planned distance and duration for all swim workouts. https://myprocoach-help.zendesk.com/hc/en-us/articles/360003873972-Determine-Your-Training-Zones-Swim For all swims (whether in a Yard or Meter Pool) follow the distances in the Workout Description section. There is also yard/meter button you can toggle in the Workout Details section below.","1000","","","","","0.392711946169535","0.702740688685875","","21","","115","131","","","0.954898376934301","34.19","16","0","0","0","0","","","","","","","","","","","","","","","","",""
"VIDEO: Measuring Your Swim Intensity","Custom","Measuring intensity for your swim sessions: https://bit.ly/SwimIntensity","","","2022-01-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prep Phase 1: Strength and Conditioning #2","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 2 x 12 (Exercise 1) 2. Step Up: 2 x 7 (Exercise 7) 3. Single Leg Squat: 2 x 6 (Exercise 3) 4. Lat & Front Raise Combo: 2 x 8 (Exercise 11) 5. Bent Over Row: 2 x 12 (Exercise 12) 6. Dumbbell Pullover: 2 x 12 (Exercise 15) 7. Tricep Dip: 2 x 10 (Exercise 17) 8. Lying Hip Abduction: 2 x 10 (Exercise 20) 9. Plank: 2 reps (Exercise 21) 10. Spider Climber: 2 x 7 (Exercise 25) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2022-01-13","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.273556679487228","0","","","","117","141","","","0.60984684737971","10.91","10","0","0","0","0","","","","","","","","","","","","","","","","",""
"Speed Workout Run","Run","Warm Up: 10 mins easy Z2. 3 x (30 secs in Z4 + 30 sec recoveries in Z1). Main Set: 3 x (3 mins in Z4 + 4 mins in Z2), 2 mins in Z5. Warm Down: 5 mins in Z2.","0.683333333333333","","2022-01-13","","7514.93994140625","","","","","0.683794677257538","3.05299997329712","","89","","163","191","","","0.85900094785725","55.35","4","3","19","9","5","","","","","","","","","","","","","","","","",""
"VIDEO: When to Eat Around Training","Custom","When to Eat Around Training: https://bit.ly/EatingAndTraining","","","2022-01-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rest Day","Day Off","","","","2022-01-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance Ride","Bike","Warm Up: 10 mins in Z2, 5 x (30 secs in upper Z2 + 30 secs in low Z2). Main Set: 9 mins in upper Z2 + 60 secs recovery in low Z2, 7 mins in upper Z2 + 60 secs recovery in low Z2, 5 mins in upper Z2 + 60 secs recovery in low Z2, 3 mins in upper Z2 + 60 secs recovery in low Z2, 1 min in upper Z2. Warm Down 10 mins in mid Z2.","0.9","","2022-01-14","","25888.01953125","189","358","636.266","","0.933373868465424","7.7039999961853","","84","","141","156","","","0.661432020122185","39.22","1","27","28","0","0","","","","","","6","48","2","0","0","","","","","","",""
"Aerobic Endurance Ride","Bike","Ride mainly in Z2.","2.25","","2022-01-15","Phil’s Training Tip: Your ""cadence"" is the count of how many pedal revolutions you do per minute. Whereas, ""power output"" is a combination of your cadence AND how hard you pedal. Therefore, to increase your power output you would need to pedal faster in the same gear. Or pedal at the same cadence, but in a bigger gear. What's the Best Cadence? Research is unclear on the single ""best cadence"" to ride at. One study suggests that athletes subconsciously self-select the cadence that's most efficient at a given time. The best cadence for your needs can also depend on the type of cyclist you are, your aerobic fitness, physique, leg strength and exercise intensity. For example, your cadence might naturally be higher in a race, and lower during an easy training ride. What Cadence to Target? 85-90 rpm is ideal for many riders, but don't force yourself to ride at that cadence if it doesn't feel right. Try not to get too worried about your cadence - it may naturally change over time anyway. You're better off focusing on increasing your power output and reducing your aerodynamic drag.","65038.46875","192","416","1578.345","","2.27844262123108","7.92899990081787","","81","","148","163","","","0.661641387063147","98.43","2","23","112","0","0","","","","","","12","112","11","1","0","","","","","","",""
"Easy Run","Run","Easy/steady run in Z2.","0.583333333333333","","2022-01-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance Run","Run","A nice steady run, mainly in Z1-Z2.","0.833333333333333","","2022-01-16","Phil’s Training Tip: Don't feel you need to do all your workouts alone. If you enjoy doing club or group workouts, you can still incorporate these into your training plan. In fact, it's a good idea. Just make sure that your group workouts replace similar types of workouts from your training plan. For example, you might swap solo speed work for a group/coached session. Or an aerobic endurance workout can be done with your club/team or workout buddies.","11021.0703125","","","","","1.13126361370087","2.70600008964539","","89","","151","163","","","0.760464482172918","72.72","9","29","29","0","0","","","","","","","","","","","","","","","","",""
"VIDEO: Use MyProCoach Training Zones","Custom","Use MyProCoach Training Zones: https://bit.ly/MyProCoachTrainingZones","","","2022-01-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pool Swim: Aerobic Endurance","Swim","Warm Up: 1 x (100 FS Breathe every 3 in Z2 + 5 secs rest), 1 x (100 Pull in Z2 + 100 Drill* in Z2 + 5 secs rest), 1 x (100 FS Breathe every 5 in Z2 + 5 secs rest). Main Set: 2 x (200 FS in Z2 + 50 FS in Z4 + 5 sec rests), 2 x (200 Pull in Z2 + 100 FS in Z3 + 5 sec rests), 2 x (50 FS in Z2 + 50 FS in Z4 + 5 sec rests), 1 x (100 Pull in Z2 + 50 FS in Z4 + 5 secs rest). Warm Down: 1 x (150 Choice in Z2).","0.823888888888889","2000","2022-01-17","*Swim Drills: For swim sets that include 'Drills' please refer to the article below. It will help you select the swim Drills that are most relevant to you and will improve your technique. https://myprocoach-help.zendesk.com/hc/en-us/articles/360023124211 For How to Follow Your Swim Workouts: https://myprocoach-help.zendesk.com/hc/en-us/articles/360022874592 You will need to have entered your CSS into your TrainingPeaks settings (see below) to see the planned distance and duration for all swim workouts. https://myprocoach-help.zendesk.com/hc/en-us/articles/360003873972-Determine-Your-Training-Zones-Swim For all swims (whether in a Yard or Meter Pool) follow the distances in the Workout Description section. There is also yard/meter button you can toggle in the Workout Details section below.","1100","","","","","0.414210834503174","0.734312416555407","","22","","109","126","","","0.995869652938398","40.91","11","0","0","0","0","","","","","","","","","","","","","","","","",""
"Speed Workout Bike","Bike","Warm Up: 10 mins easy Z2, 5 x (10 secs in Z4-5 + 50 secs easy in Z2). Main Set: 5 x (3 mins in upper Z4 + 3 min recoveries in low Z2). Warm Down: 5 mins in Z2.","0.833333333333333","","2022-01-18","","24983.55078125","265","1411","844.634","","0.885539412498474","7.83599996566772","","79","","141","164","","","0.730211224591468","44.44","2","28","24","0","0","","","","","","5","30","10","6","2","","","","","","",""
"Prep Phase 1: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 2 x 12 (Exercise 1) 2. Alternate Lunge: 2 x 8 (Exercise 5) 3. Single Leg Squat: 2 x 6 (Exercise 3) 4. Reverse Lunge: 2 x 6 (Exercise 6) 5. Bent Over Row: 2 x 12 (Exercise 12) 6. Push Up: 2 x 12 (Exercise 13) 7. Glute Bridge: 2 x 12 (Exercise 18) 8. Bird Dog: 2 x 7 (Exercise 19) 9. Plank: 2 reps (Exercise 21) 10. Reverse Crunch: 2 x 12 (Exercise 28) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2022-01-18","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.522840559482574","0","","","","106","143","","","0.590173050380229","19.85","13","0","0","0","0","","","","","","","","","","","","","","","","",""
"Speed Workout Run","Run","Warm Up: 10 mins easy in Z2, 5 x (20 secs in Z5 + 40 sec recoveries in Z1). Main Set: 7 x (1 min in Z4-5 + 2 min recoveries in Z1-2). Warm Down: 5 mins easy, slow jog in Z2.","0.683333333333333","","2022-01-19","","7303.7998046875","","","","","0.6838658452034","2.96700000762939","","89","","161","181","","","0.842912964879752","53.3","4","3","26","6","3","","","","","","","","","","","","","","","","",""
"Prep Phase 1: Strength and Conditioning #2","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 2 x 12 (Exercise 1) 2. Step Up: 2 x 7 (Exercise 7) 3. Single Leg Squat: 2 x 6 (Exercise 3) 4. Lat & Front Raise Combo: 2 x 8 (Exercise 11) 5. Bent Over Row: 2 x 12 (Exercise 12) 6. Dumbbell Pullover: 2 x 12 (Exercise 15) 7. Tricep Dip: 2 x 10 (Exercise 17) 8. Lying Hip Abduction: 2 x 10 (Exercise 20) 9. Plank: 2 reps (Exercise 21) 10. Spider Climber: 2 x 7 (Exercise 25) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2022-01-20","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.3240846991539","0","","","","101","127","","","0.596637812378358","12.43","3","0","0","0","0","","","","","","","","","","","","","","","","",""
"Pool Swim: Speed Endurance","Swim","Warm Up: 1 x (100 FS in Z2 + 100 Kick in Z2 + 5 secs rest), 1 x (100 Drill* in Z2 + 100 Pull in Z2 + 5 secs rest). Main Set: 3 x (100 Pull in Z2 + 100 FS in Z3 + 5 sec rests), 3 x (100 Pull in Z2 + 100 FS in Z4 + 10 sec rests), 3 x (100 Pull in Z2 + 100 FS in Z5 + 15 sec rests). Warm Down: 2 x (50 FS in Z2 + 50 Choice in Z2).","0.977777777777778","2400","2022-01-20","*Swim Drills: For swim sets that include 'Drills' please refer to the article below. It will help you select the swim Drills that are most relevant to you and will improve your technique. https://myprocoach-help.zendesk.com/hc/en-us/articles/360023124211 For How to Follow Your Swim Workouts: https://myprocoach-help.zendesk.com/hc/en-us/articles/360022874592 You will need to have entered your CSS into your TrainingPeaks settings (see below) to see the planned distance and duration for all swim workouts. https://myprocoach-help.zendesk.com/hc/en-us/articles/360003873972-Determine-Your-Training-Zones-Swim For all swims (whether in a Yard or Meter Pool) follow the distances in the Workout Description section. There is also yard/meter button you can toggle in the Workout Details section below.","1200","","","","","0.441538056267632","0.750938673341677","","22","","119","133","","","1.01916469851749","46.74","25","0","0","0","0","","","","","","","","","","","","","","","","",""
"VIDEO: Exporting Your Workouts","Custom","Exporting Your Workouts https://bit.ly/ExportWorkouts Check this article for TrainingPeaks: http://bit.ly/StructuredWorkoutExport And our Help Centre Guide: http://bit.ly/SyncYourDevice","","","2022-01-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rest Day","Day Off","","","","2022-01-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance Ride","Bike","Warm Up: 5 mins in low Z2, 5 mins in mid Z2. Main Set: 2, 3, 5, 6, 6, 5, 3, 2 mins all in upper Z2 + 60 sec recoveries in low Z2. Warm Down: 5 mins in mid Z2.","0.9","","2022-01-21","","0","187","359","606.651","","0.902032792568207","0","","85","","139","154","","","0.656570170294606","38.55","1","38","15","0","0","","","","","","7","43","4","0","0","","","","","","",""
"Aerobic Endurance Ride","Bike","Ride mainly in Z2.","2.25","","2022-01-22","Phil’s Training Tip: Riding indoors is a little harder than riding outside, because there is no momentum, freewheeling or stops. For this reason, when you are on the trainer you can reduce the long weekend sessions by 10-15% and you'll get close to the same benefit as riding the full duration outside.","59539.140625","190","400","1548.672","","2.26126885414124","7.31300020217896","","79","","151","163","","","0.659458478930702","97.29","1","9","126","0","0","","","","","","12","112","10","1","0","","","","","","",""
"Easy Run","Run","Easy/steady run in Z2.","0.666666666666667","","2022-01-22","","6068.5","","","","","0.639860033988953","2.6340000629425","","84","","156","170","","","0.783471839320791","43.02","3","5","30","0","0","","","","","","","","","","","","","","","","",""
"VIDEO: Fuelling Long Workouts","Custom","Check this video for more: https://bit.ly/FuellingLongWorkouts","","","2022-01-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance Run","Run","A nice steady run, mainly in Z1-Z2.","0.833333333333333","","2022-01-23","","11010.080078125","","","","","1.12405109405518","2.72099995613098","","89","","153","162","","","0.764574737267597","72.99","5","26","37","0","0","","","","","","","","","","","","","","","","",""
"VIDEO: Why You Need To Stick to Zone 2","Custom","Why You Need To Stick to Zone 2: https://bit.ly/WhyZone2","","","2022-01-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pool Swim: Recovery","Swim","These sessions are carried out at lower intensities providing the opportunity for recovery and to focus on technique. Warm Up: 1 x (100 FS in Z2 + 100 Drill* in Z2 + 5 secs rest), 2 x (50 Breast in Z2 + 50 Back in Z2 + 5 sec rests). Main Set: 1 x (100 FS in Z2 + 100 Pull in Z2 + 15 secs rest), 1 x (200 FS in Z2 + 200 Pull in Z2 + 15 secs rest), 1 x (200 FS in Z2 + 200 Pull in Z2 + 15 secs rest), 1 x (100 FS in Z2 + 100 Pull in Z2 + 15 secs rest). Warm Down: 1 x (200 Choice in Z2).","0.762222222222222","1800","2022-01-24","*Swim Drills: For swim sets that include 'Drills' please refer to the article below. It will help you select the swim Drills that are most relevant to you and will improve your technique. https://myprocoach-help.zendesk.com/hc/en-us/articles/360023124211 For How to Follow Your Swim Workouts: https://myprocoach-help.zendesk.com/hc/en-us/articles/360022874592 For all swims (whether in a Yard or Meter Pool) follow the distances in the Workout Description section. There is also yard/meter button you can toggle in the Workout Details section below.","800","","","","","0.284258334901598","0.778210116731518","","22","","113","130","","","1.05537802472477","33.41","11","0","0","0","0","","","","","","","","","","","","","","","","",""
"VIDEO: First Recovery Week","Other","Check Phil's Short Video on Recovery: https://bit.ly/RecoveryWk1","","","2022-01-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
