"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Aerobic Bike","Bike","","2","","2023-01-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run of the Bike","Run","","0.583333333333333","","2023-01-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Intervals","Run","","1","","2023-01-09","","6283.009765625","207","279","497.177","","0.667069673538208","2.6159999370575","","172","","151","161","","","0.740636751576943","36.27","38","1","0","0","0","","","","","","38","1","0","0","0","","","","","","","9"
"Aerobic Swim","Swim","200m freestyle (with fins) 4x50 of 25 Straight Arm Recovery Freestyle / 25 Swim 4x50 of 15 overspeed / 35 easy freestyle - Overspeed means move your arms as quick as possible and intentionally 'spin the wheels'. This helps you feel comfortable for when you go to increase your stroke rate. Total: 600m Workout #1 7 x 100 Freestyle with 0:30 secs rest – Using a FINIS tempo trainer, increase your stroke rate by 4 each 100 (Use the guide below to choose your stroke rate for the first 100) – Record time, stroke rate, stroke count and perceived effort If your race pace is 1:30 or faster start at 56spm If your race pace is 1:31-2:00 start at 52spm If your race pace is 2:01 or greater start at 48spm Total: 700m","0.666666666666667","1300","2023-01-09","","1850","","","","","0.591046667628818","0.862873134328358","","24","","","","","","0.84425764672873","35.57","","","","","","","","","","","","","","","","","","","","","4","3"
"Aerobic Intervals","Bike","","2.21666666666667","","2023-01-10","","75047.3671875","138","308","1245.683","","2.50388884544373","8.32499980926514","","82","","136","149","","","0.629865959299909","99.38","0","150","0","0","0","","","","","","149","1","0","0","0","","","","","","",""
"Aerobic Swim","Swim","200m freestyle (with fins) 4x50 of 25 Straight Arm Recovery Freestyle / 25 Swim 4x50 of 15 overspeed / 35 easy freestyle - Overspeed means move your arms as quick as possible and intentionally 'spin the wheels'. This helps you feel comfortable for when you go to increase your stroke rate. Total: 600m Workout #2 The 100's with 25 fast in the beginning are designed to get your stroke rate up, so that in the 70 and 90% effort 100's, you feel like a faster stroke rate is easier to hold. 3 sets of: 5x100 with 0:30 SR as: 100 as 25 fast / 75 easy 100 @ 70% 100 as 25 fast / 75 easy 100 @ 90% 100 easy recovery 100 swim down easy Total: 1.6km","0.666666666666667","1700","2023-01-11","","2100","","","","","0.710462222496668","0.816167897396036","","23","","","","","","0.797266199253868","36","","","","","","","","","","","","","","","","","","","","","",""
"Z1 Spinout","Bike","","1","","2023-01-12","","40155.37890625","138","321","616.957","","1.2363064289093","9.02200031280518","","82","","143","155","","","0.640681396699009","49.73","1","72","1","0","0","","","","","","73","1","0","0","0","","","","","","",""
"Aerobic Long Run","Run","","1.41666666666667","","2023-01-12","","10028.169921875","0","0","","","1.00888884067535","2.76099991798401","","168","","153","169","","","0.690802378495776","54.05","43","17","0","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Swim","Swim","200m freestyle (with fins) 4x50 of 25 Straight Arm Recovery Freestyle / 25 Swim 4x50 of 15 overspeed / 35 easy freestyle - Overspeed means move your arms as quick as possible and intentionally 'spin the wheels'. This helps you feel comfortable for when you go to increase your stroke rate. Total: 600m Workout #3 5 sets of: 150 at 70% (0:20 SR) 50 at 90% (0:30 SR) 100 easy 200 Fast (time trial) We want to see a quicker speed in the 50's compared to the 150's by increasing the stroke rate a bit. When you get to the time trial, record your time for it and see what you can do! Your stroke rate will be somewhere between what is was for the 150's and the 50's Total: 1.4km","0.666666666666667","1600","2023-01-12","","1500","","","","","0.493871112399631","0.83986562150056","","23","","","","","","0.81922402948298","27.15","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Swim","Swim","200m freestyle (with fins) 4x50 of 25 Straight Arm Recovery Freestyle / 25 Swim 4x50 of 15 overspeed / 35 easy freestyle - Overspeed means move your arms as quick as possible and intentionally 'spin the wheels'. This helps you feel comfortable for when you go to increase your stroke rate. Total: 600m Workout #3 5 sets of: 150 at 70% (0:20 SR) 50 at 90% (0:30 SR) 100 easy 200 Fast (time trial) We want to see a quicker speed in the 50's compared to the 150's by increasing the stroke rate a bit. When you get to the time trial, record your time for it and see what you can do! Your stroke rate will be somewhere between what is was for the 150's and the 50's Total: 1.4km","0.666666666666667","1600","2023-01-13","","2000","","","","","0.656162501970927","0.841396718552798","","23","","","","","","0.82213594250406","36.46","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","2","","2023-01-14","","80117.59375","143","340","1317.812","","2.54833340644836","8.73299980163574","","82","","137","152","","","0.653520881906799","108.66","0","152","0","0","0","","","","","","151","2","0","0","0","","","","","","3","5"
"Run of the Bike","Run","","0.5","","2023-01-14","","5021.66015625","213","278","401.483","","0.523547470569611","2.66400003433228","","171","","144","152","","","0.762563703474561","29.97","31","0","0","0","0","","","","","","27","4","0","0","0","","","","","","",""
"Aerobic Bike","Bike","","2.5","","2023-01-15","","77666.109375","141","326","1276.684","","2.5119731426239","8.58800029754639","","82","","139","157","","","0.643274409570991","103.65","1","149","0","0","0","","","","","","148","2","0","0","0","","","","","","",""
"Aerobic Run","Run","","1","","2023-01-16","","10035.3203125","209","250","798.867","","1.06119477748871","2.62700009346008","","172","","151","164","","","0.748588553366537","59.14","61","3","0","0","0","","","","","","61","3","0","0","0","","","","","","",""
"Aerobic Swim","Swim","200m freestyle (with fins) 4x50 of 25 Straight Arm Recovery Freestyle / 25 Swim 4x50 of 15 overspeed / 35 easy freestyle - Overspeed means move your arms as quick as possible and intentionally 'spin the wheels'. This helps you feel comfortable for when you go to increase your stroke rate. Total: 600m Workout #1 7 x 100 Freestyle with 0:30 secs rest – Using a FINIS tempo trainer, increase your stroke rate by 4 each 100 (Use the guide below to choose your stroke rate for the first 100) – Record time, stroke rate, stroke count and perceived effort If your race pace is 1:30 or faster start at 56spm If your race pace is 1:31-2:00 start at 52spm If your race pace is 2:01 or greater start at 48spm Total: 700m","0.666666666666667","2000","2023-01-16","","2000","","","","","0.647886391215854","0.851063829787234","","23","","","","","","0.831764482469811","37.28","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Intervals","Bike","","2.63333333333333","","2023-01-17","","80601.25","141","332","1384.78","","2.71836042404175","8.23600006103516","","81","","133","158","","","0.662923735939291","115.62","12","151","0","0","0","","","","","","137","25","0","0","0","","","","","","",""
"Aerobic Swim","Swim","200m freestyle (with fins) 4x50 of 25 Straight Arm Recovery Freestyle / 25 Swim 4x50 of 15 overspeed / 35 easy freestyle - Overspeed means move your arms as quick as possible and intentionally 'spin the wheels'. This helps you feel comfortable for when you go to increase your stroke rate. Total: 600m Workout #2 The 100's with 25 fast in the beginning are designed to get your stroke rate up, so that in the 70 and 90% effort 100's, you feel like a faster stroke rate is easier to hold. 3 sets of: 5x100 with 0:30 SR as: 100 as 25 fast / 75 easy 100 @ 70% 100 as 25 fast / 75 easy 100 @ 90% 100 easy recovery 100 swim down easy Total: 1.6km","0.666666666666667","2000","2023-01-18","","2000","","","","","0.651088891029358","0.849256900212314","","23","","","","","","0.82767329670902","36.92","","","","","","","","","","","","","","","","","","","","","",""
"Z1 Spinout","Bike","","1","","2023-01-19","","40417.44140625","138","324","664.323","","1.33611106872559","8.40200042724609","","80","","136","151","","","0.6340061792013","53.2","2","78","0","0","0","","","","","","79","1","0","0","0","","","","","","",""
"Aerobic Long Run","Run","","1.11444444444444","","2023-01-19","","12011.509765625","","","","","1.18492078781128","2.81599998474121","","174","","157","180","","","0.690411093951502","62.84","45","12","14","0","0","","","","","","","","","","","","","","","","6","5"
"Aerobic Swim","Swim","200m freestyle (with fins) 4x50 of 25 Straight Arm Recovery Freestyle / 25 Swim 4x50 of 15 overspeed / 35 easy freestyle - Overspeed means move your arms as quick as possible and intentionally 'spin the wheels'. This helps you feel comfortable for when you go to increase your stroke rate. Total: 600m Workout #3 5 sets of: 150 at 70% (0:20 SR) 50 at 90% (0:30 SR) 100 easy 200 Fast (time trial) We want to see a quicker speed in the 50's compared to the 150's by increasing the stroke rate a bit. When you get to the time trial, record your time for it and see what you can do! Your stroke rate will be somewhere between what is was for the 150's and the 50's Total: 1.4km","0.5","1500","2023-01-19","","1500","","","","","0.499600279596117","0.826901874310915","","22","","","","","","0.808980065009972","26.45","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Intervals","Bike","","2.5","","2023-01-21","","63374.2109375","130","306","1221.539","","2.6006133556366","6.76900005340576","","66","","126","167","","","0.704446750799725","101.59","23","126","4","0","0","","","","","","127","21","4","4","1","","","","","","6","5"
"Run of the Bike","Run","","0.5","","2023-01-21","","5014.75","212","297","391.952","","0.513383328914642","2.71300005912781","","172","","147","157","","","0.758248611408279","29.01","31","0","0","0","0","","","","","","29","2","0","0","0","","","","","","",""
"Aerobic Bike","Bike","","2.5","","2023-01-22","","80098.9921875","143","274","1391.594"," *03/15/2023 Pawel Migdal: 165 | 1.5 165 | 1.5 165 | 1.5 145 | 0.9*","2.68474936485291","8.28699970245361","","78","","133","150","","","0.684953935130695","118.43","9","151","0","0","0","","","","","","135","24","1","0","0","","","","","","",""
"Aerobic Swim","Swim","200m freestyle (with fins) 4x50 of 25 Straight Arm Recovery Freestyle / 25 Swim 4x50 of 15 overspeed / 35 easy freestyle - Overspeed means move your arms as quick as possible and intentionally 'spin the wheels'. This helps you feel comfortable for when you go to increase your stroke rate. Total: 600m Workout #3 5 sets of: 150 at 70% (0:20 SR) 50 at 90% (0:30 SR) 100 easy 200 Fast (time trial) We want to see a quicker speed in the 50's compared to the 150's by increasing the stroke rate a bit. When you get to the time trial, record your time for it and see what you can do! Your stroke rate will be somewhere between what is was for the 150's and the 50's Total: 1.4km","0.666666666666667","2000","2023-01-22","","1000","","","","","0.316517223252191","0.871839581517001","","23","","","","","","0.851278934131682","19.53","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Run","Run","","1","","2023-01-23","","10034.3896484375","208","249","785.034","","1.04856216907501","2.65799999237061","","172","","147","157","","","0.743657862983832","57.62","63","0","0","0","0","","","","","","61","2","0","0","0","","","","","","",""
"Aerobic Swim","Swim","200m freestyle (with fins) 4x50 of 25 Straight Arm Recovery Freestyle / 25 Swim 4x50 of 15 overspeed / 35 easy freestyle - Overspeed means move your arms as quick as possible and intentionally 'spin the wheels'. This helps you feel comfortable for when you go to increase your stroke rate. Total: 600m Workout #1 7 x 100 Freestyle with 0:30 secs rest – Using a FINIS tempo trainer, increase your stroke rate by 4 each 100 (Use the guide below to choose your stroke rate for the first 100) – Record time, stroke rate, stroke count and perceived effort If your race pace is 1:30 or faster start at 56spm If your race pace is 1:31-2:00 start at 52spm If your race pace is 2:01 or greater start at 48spm Total: 700m","0.666666666666667","2000","2023-01-23","","2000","","","","","0.62567305776808","0.883002207505519","","24","","","","","","0.861294700480199","39.98","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Intervals","Bike","","2.63333333333333","","2023-01-24","","80664.8984375","144","281","1372.416","","2.63805556297302","8.49300003051758","","81","","138","155","","","0.669451733848461","117.64","1","157","0","0","0","","","","","","132","25","1","0","0","","","","","","",""
"Aerobic Swim","Swim","200m freestyle (with fins) 4x50 of 25 Straight Arm Recovery Freestyle / 25 Swim 4x50 of 15 overspeed / 35 easy freestyle - Overspeed means move your arms as quick as possible and intentionally 'spin the wheels'. This helps you feel comfortable for when you go to increase your stroke rate. Total: 600m Workout #2 The 100's with 25 fast in the beginning are designed to get your stroke rate up, so that in the 70 and 90% effort 100's, you feel like a faster stroke rate is easier to hold. 3 sets of: 5x100 with 0:30 SR as: 100 as 25 fast / 75 easy 100 @ 70% 100 as 25 fast / 75 easy 100 @ 90% 100 easy recovery 100 swim down easy Total: 1.6km","0.666666666666667","2000","2023-01-25","","2300","","","","","0.752169448534648","0.844966936076414","","23","","","","","","0.823913047026232","42.07","","","","","","","","","","","","","","","","","","","","","",""
"Z1 Spinout","Bike","","1","","2023-01-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Long Run","Run","","1.11444444444444","","2023-01-26","","10004.9697265625","0","0","","","1.02277779579163","2.71700000762939","","158","","152","173","","","0.7269237098593","59.89","44","17","0","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Swim","Swim","200m freestyle (with fins) 4x50 of 25 Straight Arm Recovery Freestyle / 25 Swim 4x50 of 15 overspeed / 35 easy freestyle - Overspeed means move your arms as quick as possible and intentionally 'spin the wheels'. This helps you feel comfortable for when you go to increase your stroke rate. Total: 600m Workout #3 5 sets of: 150 at 70% (0:20 SR) 50 at 90% (0:30 SR) 100 easy 200 Fast (time trial) We want to see a quicker speed in the 50's compared to the 150's by increasing the stroke rate a bit. When you get to the time trial, record your time for it and see what you can do! Your stroke rate will be somewhere between what is was for the 150's and the 50's Total: 1.4km","0.5","1500","2023-01-26","","1500","","","","","0.492860278553433","0.838457238680827","","23","","","","","","0.820043091833073","27.18","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","3","","2023-01-27","","93656.390625","145","237","1631.941","","3.11911392211914","8.34000015258789","","79","","139","158","","","0.689978935637975","143.05","5","182","0","0","0","","","","","","159","28","1","0","0","","","","","","",""
"Aerobic Swim","Swim","200m freestyle (with fins) 4x50 of 25 Straight Arm Recovery Freestyle / 25 Swim 4x50 of 15 overspeed / 35 easy freestyle - Overspeed means move your arms as quick as possible and intentionally 'spin the wheels'. This helps you feel comfortable for when you go to increase your stroke rate. Total: 600m Workout #3 5 sets of: 150 at 70% (0:20 SR) 50 at 90% (0:30 SR) 100 easy 200 Fast (time trial) We want to see a quicker speed in the 50's compared to the 150's by increasing the stroke rate a bit. When you get to the time trial, record your time for it and see what you can do! Your stroke rate will be somewhere between what is was for the 150's and the 50's Total: 1.4km","0.666666666666667","2000","2023-01-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Intervals","Bike","","2.5","","2023-01-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run of the Bike","Run","","0.5","","2023-01-28","","5180.0400390625","199","272","416.257","","0.580138623714447","2.48000001907349","","171","","145","161","","","0.725621652446213","30.18","34","0","0","0","0","","","","","","20","5","1","0","0","","","","","","",""
"Snowboarding","Other","","","","2023-01-29","","37279.55078125","","","","","1.85330414772034","5.58799982070923","","","","94","147","","","0.55777896203622","64.77","4","0","0","0","0","","","","","","","","","","","","","","","","",""
"Snowboarding","Other","","","","2023-01-30","","39869.80859375","","","","","1.78473055362701","6.20499992370605","","","","123","176","","","0.621239127175017","76.82","68","6","1","0","0","","","","","","","","","","","","","","","","",""
"Peak Phase 2: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 8 (Exercise 1) 2. Alternate Lunge: 3 x 9 (Exercise 5) 3. Calf Raise: 3 x 10 (Exercise 8) 4. Lat & Front Raise Combo: 3 x 7 (Exercise 11) 5. Dumbbell Pullover: 2 x 12 (Exercise 15) 6: Glute Bridge: 3 x 12 (Exercise 18) 7. Bicycle Crunch: 3 x 10 (Exercise 26) 8. Plank: 3 reps (Exercise 21) 9. Sit-Up: 2 x 12 (Exercise 27) Flexibility: 10-15 minutes Notes: 1. 3 x 8 = 3 sets of 8 repetitions with a rest between sets. 2. Rests are 30 - 50 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2023-01-31","Peak Phase: This phase allows you to focus on sport-specific training. This means decreasing the stress of your strength and conditioning training session by reducing intensity and volume. The time allowed for flexibility is increased, maintaining mobility and range of movement during this phase is key. Resistance during the Peak Phase: The resistance should reduce back to what you were lifting in the Base Phase. Stay focused on form. Perform strength and conditioning once each week for this phase. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Snowboarding","Other","","","","2023-01-31","","35441.12890625","","","","","1.41521656513214","6.95599985122681","","","","115","159","","","0.595642421631174","55.02","42","0","0","0","0","","","","","","","","","","","","","","","","",""
"Snowboarding","Other","","","","2023-02-01","","42582.578125","","","","","2.27355694770813","5.20300006866455","","","","121","166","","","0.602464902278249","93.33","94","1","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2023-02-01","","5273.93994140625","204","267","422.052","","0.572524726390839","2.55900001525879","","170","","147","156","","","0.733024227997591","30.29","34","0","0","0","0","","","","","","33","1","0","0","0","","","","","","",""
"Snowboarding","Other","","","","2023-02-02","","16306.349609375","","","","","1.2593766450882","3.59699988365173","","","","132","182","","","0.693492590879812","66.86","29","18","4","0","0","","","","","","","","","","","","","","","","",""
"Peak Phase 2: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 8 (Exercise 1) 2. Alternate Lunge: 3 x 9 (Exercise 5) 3. Calf Raise: 3 x 10 (Exercise 8) 4. Lat & Front Raise Combo: 3 x 7 (Exercise 11) 5. Dumbbell Pullover: 2 x 12 (Exercise 15) 6: Glute Bridge: 3 x 12 (Exercise 18) 7. Bicycle Crunch: 3 x 10 (Exercise 26) 8. Plank: 3 reps (Exercise 21) 9. Sit-Up: 2 x 12 (Exercise 27) Flexibility: 10-15 minutes Notes: 1. 3 x 8 = 3 sets of 8 repetitions with a rest between sets. 2. Rests are 30 - 50 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2023-02-03","Peak Phase: This phase allows you to focus on sport-specific training. This means decreasing the stress of your strength and conditioning training session by reducing intensity and volume. The time allowed for flexibility is increased, maintaining mobility and range of movement during this phase is key. Resistance during the Peak Phase: The resistance should reduce back to what you were lifting in the Base Phase. Stay focused on form. Perform strength and conditioning once each week for this phase. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Snowboarding","Other","","","","2023-02-03","","26638.7890625","","","","","1.17665135860443","6.28900003433228","","","","97","130","","","0.572253387874507","42.72","2","0","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2023-02-03","","6012.7001953125","209","272","486.324","","0.645646631717682","2.58699989318848","","170","","146","163","","","0.751109877124076","35.93","38","1","0","0","0","","","","","","33","4","0","0","0","","","","","","",""
"Aerobic Run","Run","","1","","2023-02-06","","10014.759765625","208","316","777.361","","1.03577220439911","2.68600010871887","","173","","150","178","","","0.756486491484669","58.57","47","9","4","0","0","","","","","","54","2","4","2","0","","","","","","6","7"
"Aerobic Swim","Swim","200m freestyle (with fins) 4x50 of 25 Straight Arm Recovery Freestyle / 25 Swim 4x50 of 15 overspeed / 35 easy freestyle - Overspeed means move your arms as quick as possible and intentionally 'spin the wheels'. This helps you feel comfortable for when you go to increase your stroke rate. Total: 600m Workout #1 7 x 100 Freestyle with 0:30 secs rest – Using a FINIS tempo trainer, increase your stroke rate by 4 each 100 (Use the guide below to choose your stroke rate for the first 100) – Record time, stroke rate, stroke count and perceived effort If your race pace is 1:30 or faster start at 56spm If your race pace is 1:31-2:00 start at 52spm If your race pace is 2:01 or greater start at 48spm Total: 700m","0.666666666666667","2000","2023-02-06","","2000","","","","","0.644017225901286","0.8587376556462","","23","","","","","","0.836761607012495","37.73","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Intervals","Bike","","2.7","","2023-02-07","","82305.890625","138","294","1449","","2.89802193641663","7.88899993896484","","75","","133","154","","","0.676263944733276","124.16","17","157","0","0","0","","","","","","144","23","6","0","0","","","","","","",""
"Aerobic Swim","Swim","200m freestyle (with fins) 4x50 of 25 Straight Arm Recovery Freestyle / 25 Swim 4x50 of 15 overspeed / 35 easy freestyle - Overspeed means move your arms as quick as possible and intentionally 'spin the wheels'. This helps you feel comfortable for when you go to increase your stroke rate. Total: 600m Workout #2 The 100's with 25 fast in the beginning are designed to get your stroke rate up, so that in the 70 and 90% effort 100's, you feel like a faster stroke rate is easier to hold. 3 sets of: 5x100 with 0:30 SR as: 100 as 25 fast / 75 easy 100 @ 70% 100 as 25 fast / 75 easy 100 @ 90% 100 easy recovery 100 swim down easy Total: 1.6km","0.666666666666667","2000","2023-02-08","","2600","","","","","0.73414416829745","0.975243810952738","","24","","","","","","0.954247933590769","63.79","","","","","","","","","","","","","","","","","","","","","",""
"Z1 Spinout","Bike","","1","","2023-02-09","","40081.0703125","139","239","623.489","","1.24439299106598","8.94699954986572","","80","","135","152","","","0.642774657331867","50.59","2","72","0","0","0","","","","","","73","1","0","0","0","","","","","","",""
"Aerobic Long Run","Run","","1.11444444444444","","2023-02-09","","10017.0400390625","0","0","","","1.03972220420837","2.67600011825562","","0","","146","158","","","0.675301928997484","52.82","62","0","0","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Swim","Swim","200m freestyle (with fins) 4x50 of 25 Straight Arm Recovery Freestyle / 25 Swim 4x50 of 15 overspeed / 35 easy freestyle - Overspeed means move your arms as quick as possible and intentionally 'spin the wheels'. This helps you feel comfortable for when you go to increase your stroke rate. Total: 600m Workout #3 5 sets of: 150 at 70% (0:20 SR) 50 at 90% (0:30 SR) 100 easy 200 Fast (time trial) We want to see a quicker speed in the 50's compared to the 150's by increasing the stroke rate a bit. When you get to the time trial, record your time for it and see what you can do! Your stroke rate will be somewhere between what is was for the 150's and the 50's Total: 1.4km","0.5","1500","2023-02-09","","750","","","","","0.249712500042386","0.829646017699115","","22","","","","","","0.809263986780927","13.23","","","","","","","","","","","","","","","","","","","","","",""
